model,calibrator,split,cp_model,cp_penalty,cp_min_size,cp_jump,num_windows,MAE_CP,tolerance_hit_rate,mean_signed_error,coverage_rate,sharpness,delta_MAE_CP,delta_tolerance_hit_rate,delta_coverage_rate,delta_sharpness,coverage_gap
deepar,extra_trees,test,normal,10.0,8,1,852,6.732394366197183,0.3438967136150235,-0.8779342723004695,0.960678430179495,3.6010857998867527,-0.5258215962441319,-0.1349765258215962,0.016808640097353167,1.0437323380055945,0.010678430179494991
deepar,global_median_offset,test,normal,10.0,8,1,852,6.613849765258216,0.5070422535211268,-3.0129107981220655,0.9555825981137815,3.162400286013066,-0.644366197183099,0.02816901408450706,0.011712808031639765,0.6050468241319078,0.005582598113781589
deepar,gradient_boosting,test,normal,10.0,8,1,852,7.019953051643192,0.2992957746478873,-0.01056338028169014,0.960678430179495,3.8177251795104223,-0.2382629107981229,-0.17957746478873238,0.016808640097353167,1.2603717176292641,0.010678430179494991
deepar,per_series_median_offset,test,normal,10.0,8,1,852,6.759389671361502,0.4460093896713615,-3.266431924882629,0.9536051110435048,3.087083037234041,-0.4988262910798129,-0.03286384976525819,0.009735320961362981,0.5297295753528828,0.003605111043504805
deepar,random_forest,test,normal,10.0,8,1,852,6.84037558685446,0.318075117370892,-0.3004694835680751,0.960678430179495,3.729996418258224,-0.41784037558685494,-0.1607981220657277,0.016808640097353167,1.1726429563770657,0.010678430179494991
deepar,raw_tau,test,normal,10.0,8,1,852,7.258215962441315,0.4788732394366197,-6.002347417840376,0.9438697900821418,2.557353461881158,0.0,0.0,0.0,0.0,0.006130209917858176
deepar,extra_trees,train,normal,10.0,8,1,2601,0.6728181468665898,0.9607843137254902,-0.04767397154940407,0.9613960113960114,2.3962662200950047,-6.5853978155747255,0.48191107428887053,0.017526221313869605,-0.16108724178615352,0.01139601139601143
deepar,global_median_offset,train,normal,10.0,8,1,2601,4.823913879277201,0.5840061514802,-1.350634371395617,0.9582336182336182,2.320975940662323,-2.4343020831641136,0.10513291204358027,0.01436382815147641,-0.23637752121883526,0.008233618233618234
deepar,gradient_boosting,train,normal,10.0,8,1,2601,4.116109188773549,0.4675124951941561,0.006151480199923107,0.9636182336182336,2.5380952050173047,-3.1421067736677664,-0.011360744242463583,0.019748443536091842,-0.019258256863853518,0.013618233618233666
deepar,per_series_median_offset,train,normal,10.0,8,1,2601,4.687812379853902,0.5509419454056133,-1.5390234525182622,0.957008547008547,2.28881905820628,-2.5704035825874127,0.07206870596899356,0.013138756926405204,-0.26853440367487824,0.007008547008547028
deepar,random_forest,train,normal,10.0,8,1,2601,2.30718954248366,0.8646674356016917,0.12264513648596694,0.9644729344729345,2.5205058939063374,-4.951026419957655,0.385794196165072,0.020603144390792694,-0.036847567974820805,0.014472934472934518
deepar,raw_tau,train,normal,10.0,8,1,2601,5.359092656670511,0.5105728565936178,-4.349480968858131,0.9466096866096866,1.9334481149775402,-1.8991233057708037,0.03169961715699815,0.002739896527544805,-0.623905346903618,0.003390313390313371
deepar,extra_trees,val,normal,10.0,8,1,847,5.900826446280992,0.3435655253837072,0.4155844155844156,0.9676777722526106,3.823889709007879,-1.3573895161603229,-0.13530771405291248,0.023807982170468867,1.2665362471267207,0.01767777225261069
deepar,global_median_offset,val,normal,10.0,8,1,847,5.343565525383707,0.5737898465171193,-2.1818181818181817,0.9611304491960881,3.340146938875916,-1.9146504370576078,0.0949166070804996,0.017260659113946364,0.7827934769947578,0.011130449196088188
deepar,gradient_boosting,val,normal,10.0,8,1,847,5.9421487603305785,0.3116883116883117,0.8701298701298701,0.967594894745566,3.936649743663951,-1.3160672021107365,-0.167184927748308,0.023725104663424257,1.3792962817827927,0.01759489474556608
deepar,per_series_median_offset,val,normal,10.0,8,1,847,5.427390791027155,0.5112160566706021,-2.256198347107438,0.9610475716890436,3.3051664176509425,-1.8308251714141601,0.03234281723398241,0.017177781606901865,0.7478129557697843,0.01104757168904369
deepar,random_forest,val,normal,10.0,8,1,847,5.865407319952775,0.3282172373081464,0.7697756788665879,0.9676777722526106,3.8922946023628455,-1.3928086424885402,-0.1506560021284733,0.023807982170468867,1.3349411404816873,0.01767777225261069
deepar,raw_tau,val,normal,10.0,8,1,847,6.0271546635183,0.49940968122786306,-5.181818181818182,0.9535885960550307,2.808473825019038,-1.2310612989230147,0.020536441791243365,0.009718805972888878,0.25112036313788,0.0035885960550307017
