model,calibrator,split,cp_detector,cp_model,cp_penalty,cp_min_size,cp_jump,cp_period_length,cp_exclusion_radius,cp_score_threshold,num_windows,MAE_CP,tolerance_hit_rate,mean_signed_error,coverage_rate,sharpness,delta_MAE_CP,delta_tolerance_hit_rate,delta_coverage_rate,delta_sharpness,coverage_gap
chronos2,gradient_boosting,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,5.101111111111111,0.23944444444444443,2.111111111111111,0.9725007618522442,3.929455706688849,-2.314294294294294,-0.1806906906906907,0.09917630760143104,2.781219420896294,0.022500761852244255
chronos2,per_series_median_offset,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,4.8630555555555555,0.6127777777777778,0.9019444444444444,0.968495595768455,3.7189216814568518,-2.5523498498498496,0.19264264264264264,0.09517114151764183,2.570685395664297,0.018495595768455053
chronos2,random_forest,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,5.336111111111111,0.24916666666666668,2.451111111111111,0.9730376862910131,3.9669973238439242,-2.079294294294294,-0.17096846846846844,0.09971323204019988,2.8187610380513695,0.023037686291013104
chronos2,raw_tau,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,4.734166666666667,0.6127777777777778,0.7369444444444444,0.968132808985503,3.6657371086012205,-2.681238738738738,0.19264264264264264,0.09480835473468985,2.5175008228086657,0.01813280898550307
deepar,extra_trees,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,6.7885135135135135,0.10337837837837838,-1.432837837837838,0.8078345518254517,-1.0004006664433371,-0.3733783783783782,-0.3231081081081081,0.006024819512641222,0.06377764560080856,0.14216544817454824
deepar,global_median_offset,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,7.161891891891892,0.42648648648648646,-2.737027027027027,0.8018097323128105,-1.0641783120441457,0.0,0.0,0.0,0.0,0.14819026768718946
deepar,gradient_boosting,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,6.818918918918919,0.11135135135135135,-1.685945945945946,0.8068342260050416,-1.0063389845734694,-0.3429729729729729,-0.31513513513513514,0.0050244936922311245,0.05783932747067633,0.14316577399495833
deepar,per_series_median_offset,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,7.181486486486486,0.42608108108108106,-2.882027027027027,0.80136958895183,-1.0677109601306936,0.01959459459459456,-0.00040540540540540126,-0.0004401433609805272,-0.0035326480865478516,0.14863041104816999
deepar,random_forest,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,6.767027027027027,0.10851351351351352,-0.885945945945946,0.8081889529732541,-0.9956978167330273,-0.3948648648648643,-0.31797297297297294,0.0063792206604436075,0.06848049531111844,0.14181104702674585
deepar,raw_tau,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,7.161891891891892,0.42648648648648646,-2.737027027027027,0.8018097323128105,-1.0641783120441457,0.0,0.0,0.0,0.0,0.14819026768718946
