model,split,forecast_windows_path,cp_detector,cp_min_size,cp_period_length,cp_exclusion_radius,cp_score_threshold,cp_model,cp_penalty,cp_jump,num_windows_total,MAE_CP,tau_mae_when_both_break,tolerance,tolerance_hit_rate,tolerance_hit_rate_when_both_break,break_precision,break_recall,break_f1,coverage_rate,sharpness,coverage_gap
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,8,auto,0.05,0.5,normal,10.0,1,10000,10.2933,10.2933,3,0.4587,0.4587,1.0,1.0,1.0,0.8322820514041159,-3.850314149387049,0.11771794859588403
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,8,auto,0.05,0.6,normal,10.0,1,10000,10.2933,10.2933,3,0.4587,0.4587,1.0,1.0,1.0,0.8322820514041159,-3.850314149387049,0.11771794859588403
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,8,auto,0.05,0.7,normal,10.0,1,10000,10.2933,10.2933,3,0.4587,0.4587,1.0,1.0,1.0,0.8322820514041159,-3.850314149387049,0.11771794859588403
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,8,auto,0.05,0.75,normal,10.0,1,10000,10.2933,10.2933,3,0.4587,0.4587,1.0,1.0,1.0,0.8322820514041159,-3.850314149387049,0.11771794859588403
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,10,16,0.05,0.5,normal,10.0,1,10000,6.078,6.078,3,0.5109,0.5109,1.0,1.0,1.0,0.8332629233304705,-4.258383904275559,0.11673707666952948
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,10,16,0.05,0.6,normal,10.0,1,10000,6.078,6.078,3,0.5109,0.5109,1.0,1.0,1.0,0.8332629233304705,-4.258383904275559,0.11673707666952948
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,10,16,0.05,0.7,normal,10.0,1,10000,6.0812,6.077615523104621,3,0.5108,0.5109021804360873,1.0,0.9998,0.9998999899989999,0.8332629233304705,-4.25835565224614,0.11673707666952948
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,10,16,0.05,0.75,normal,10.0,1,10000,6.1261,6.078203328654502,3,0.5094,0.5107278925205534,0.9986983078001401,0.9986983078001401,0.9986983078001401,0.8331757376866813,-4.267771982509949,0.11682426231331866
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,10,8,0.05,0.5,normal,10.0,1,10000,13.3914,13.3914,3,0.4135,0.4135,1.0,1.0,1.0,0.8331459006216768,-3.9542958976263005,0.11685409937832314
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,10,8,0.05,0.6,normal,10.0,1,10000,13.3914,13.3914,3,0.4135,0.4135,1.0,1.0,1.0,0.8331459006216768,-3.9542958976263005,0.11685409937832314
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,10,8,0.05,0.7,normal,10.0,1,10000,13.398,13.39319659829915,3,0.4132,0.41340670335167584,0.9997999399819946,0.9996999399879976,0.999749937484371,0.8331459410838767,-3.9543818913166624,0.11685405891612322
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,10,8,0.05,0.75,normal,10.0,1,10000,13.4657,13.371422793002326,3,0.4097,0.4141975932854687,0.993569777956395,0.99536990437846,0.9944690265486724,0.8320873732308035,-3.9737087902148676,0.11791262676919645
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,10,auto,0.05,0.5,normal,10.0,1,10000,10.2933,10.2933,3,0.4587,0.4587,1.0,1.0,1.0,0.8322820514041159,-3.850314149387049,0.11771794859588403
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,10,auto,0.05,0.6,normal,10.0,1,10000,10.2933,10.2933,3,0.4587,0.4587,1.0,1.0,1.0,0.8322820514041159,-3.850314149387049,0.11771794859588403
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,10,auto,0.05,0.7,normal,10.0,1,10000,10.2933,10.2933,3,0.4587,0.4587,1.0,1.0,1.0,0.8322820514041159,-3.850314149387049,0.11771794859588403
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,10,auto,0.05,0.75,normal,10.0,1,10000,10.2933,10.2933,3,0.4587,0.4587,1.0,1.0,1.0,0.8322820514041159,-3.850314149387049,0.11771794859588403
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,12,16,0.05,0.5,normal,10.0,1,10000,6.078,6.078,3,0.5109,0.5109,1.0,1.0,1.0,0.8332629233304705,-4.258383904275559,0.11673707666952948
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,12,16,0.05,0.6,normal,10.0,1,10000,6.078,6.078,3,0.5109,0.5109,1.0,1.0,1.0,0.8332629233304705,-4.258383904275559,0.11673707666952948
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,12,16,0.05,0.7,normal,10.0,1,10000,6.0812,6.077615523104621,3,0.5108,0.5109021804360873,1.0,0.9998,0.9998999899989999,0.8332629233304705,-4.25835565224614,0.11673707666952948
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,12,16,0.05,0.75,normal,10.0,1,10000,6.1261,6.078203328654502,3,0.5094,0.5107278925205534,0.9986983078001401,0.9986983078001401,0.9986983078001401,0.8331757376866813,-4.267771982509949,0.11682426231331866
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,12,8,0.05,0.5,normal,10.0,1,10000,11.3801,11.3801,3,0.3835,0.3835,1.0,1.0,1.0,0.8388917238217971,-4.008915880306973,0.11110827617820285
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,12,8,0.05,0.6,normal,10.0,1,10000,11.4278,11.385334003013561,3,0.381,0.38272225012556504,0.9975949493937268,0.9978949478748997,0.9977449260836883,0.8387855306076661,-4.016555065097378,0.11121446939233381
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,12,8,0.05,0.7,normal,10.0,1,10000,12.9748,11.340379092475589,3,0.3319,0.37633543940264214,0.911804755420551,0.9550191991223258,0.932911799378416,0.8305877551661082,-4.381878655751583,0.11941224483389179
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,12,8,0.05,0.75,normal,10.0,1,10000,15.0438,10.937242798353909,3,0.2723,0.3674554183813443,0.7000360100828232,0.8426527958387516,0.7647521636506688,0.8231132988400449,-5.418134949942335,0.12688670115995504
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,12,auto,0.05,0.5,normal,10.0,1,10000,10.2933,10.2933,3,0.4587,0.4587,1.0,1.0,1.0,0.8322820514041159,-3.850314149387049,0.11771794859588403
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,12,auto,0.05,0.6,normal,10.0,1,10000,10.2933,10.2933,3,0.4587,0.4587,1.0,1.0,1.0,0.8322820514041159,-3.850314149387049,0.11771794859588403
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,12,auto,0.05,0.7,normal,10.0,1,10000,10.2933,10.2933,3,0.4587,0.4587,1.0,1.0,1.0,0.8322820514041159,-3.850314149387049,0.11771794859588403
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,12,auto,0.05,0.75,normal,10.0,1,10000,10.2933,10.2933,3,0.4587,0.4587,1.0,1.0,1.0,0.8322820514041159,-3.850314149387049,0.11771794859588403
lstm,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/lstm_forecast_windows.csv,clasp,8,16,0.05,0.5,normal,10.0,1,10000,6.471,6.471,3,0.5259,0.5259,1.0,1.0,1.0,0.9582832339082195,-0.7274420900913692,0.0082832339082195
lstm,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/lstm_forecast_windows.csv,clasp,8,16,0.05,0.6,normal,10.0,1,10000,6.471,6.471,3,0.5259,0.5259,1.0,1.0,1.0,0.9582832339082195,-0.7274420900913692,0.0082832339082195
lstm,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/lstm_forecast_windows.csv,clasp,8,16,0.05,0.7,normal,10.0,1,10000,6.471,6.471,3,0.5259,0.5259,1.0,1.0,1.0,0.9582832339082195,-0.7274420900913692,0.0082832339082195
lstm,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/lstm_forecast_windows.csv,clasp,8,16,0.05,0.75,normal,10.0,1,10000,6.4951,6.466706718734355,3,0.5254,0.5260839090818064,0.9987,1.0,0.9993495772251965,0.9582788701319168,-0.7370686298678891,0.00827887013191686
lstm,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/lstm_forecast_windows.csv,clasp,8,8,0.05,0.5,normal,10.0,1,10000,14.2648,14.2648,3,0.5182,0.5182,1.0,1.0,1.0,0.9293524585449012,-0.7692510810561233,0.020647541455098728
